name,modern,playful,clumsy,sharp,graceful,angular,strong,attention-grabbing,artistic,attractive,complex,calm,friendly,happy,legible,sloppy,warm,delicate,charming,formal,wide,disorderly,gentle,technical,boring,pretentious,bad,dramatic,thin,fresh,soft
GentiumBasic-BoldItalic,11.081248927919662,8.160607884569377,-0.8281301907955942,2.1051978702719754,7.943920512088236,1.5006041829095222,3.516563463936515,6.928563371157761,12.762562595650577,15.435046125581552,4.932852979596155,1.7797204095205195,1.0119420545928979,11.78311284037351,5.153179968628907,3.5393954514448667,12.298955151730526,7.867591965959592,15.032773123713495,5.926344533017033,-16.250561613655155,-7.173102222907288,3.8577783796888014,5.872596201251723,-6.723646864252479,8.704487562320919,-5.37804451285268,3.2631167753609676,-26.673737426878972,5.49023286599842,11.73912509157571
Asset,-3.902451548390123,-3.2761233775562184,12.715049117129427,-12.470490446441445,-10.445991495141078,0.817487787611788,30.852271730976547,-4.1543021513203096,-1.0953345177536593,-6.915166061535289,12.083023059459988,-35.16196686750875,-19.987312679766635,-12.281730719711506,-19.362497642360857,2.5111693415103455,1.5633438233594172,-13.027105585259896,-18.905121589854062,-7.694043351254404,30.46030028523212,14.472269888527196,-22.81543928802814,-5.074326575960405,5.10760754735978,-1.0313839855748292,15.661087747091427,2.6531041557454804,-99.99999881297038,-20.320903383771878,-20.147344873793013
ShareTech-Regular,0.7235310988937821,-4.50018836935869,-3.8321606373703196,-2.4272669834227103,-1.1629903719911792,1.157182750686615,-5.987074036707457,-2.2824394107736876,-3.81170180409721,-9.983597866803969,-5.1811408627321445,7.203822334125107,-0.7772970401331848,-8.985442351466393,1.3596221829862387,-7.000932399449826,-1.9513287049282373,-0.41740319602216386,-2.105690596267399,-1.1704557926597383,-20.836411619685936,-7.475005131124927,5.0755348390013335,-2.3998719507558666,4.176541415376234,1.232628632935586,-3.7749878080454704,-0.522632617809389,13.316207143967603,-1.9297441461665994,2.52973370589048
Iceland-Regular,2.7986709385485793,5.378785339768812,-0.9859957378046398,2.7955323198256505,-4.547979536728163,3.0556922236228226,-19.475862759850873,-5.666417378998679,5.0538043711487095,-6.027340965537305,2.1439891873394137,-2.465965867208983,-2.0330404330948415,-3.8912373727278258,-2.9059566828020067,-2.0073831064864036,-6.685108972646281,-0.462814760457894,-4.072574138625109,-5.4850985897201125,-15.522472483313235,-2.8637965419781897,3.8053893449200684,2.715661846629621,-1.7362926938145058,0.8640577905411533,4.435626851562577,2.5979283953198795,41.09051076220155,-0.539662183173407,7.429544444364931
Oswald-Bold,-6.498527794571614,-4.586869740118441,0.7342051078468885,-3.5344585737014254,-2.4188233362028866,-6.969992606419198,26.458110163856492,4.28586705809928,-3.1957293558405744,-5.83920334605239,-1.0480821538232865,-6.6720628679620955,-7.834291737356009,-1.7005781324683058,-0.11263730562649132,-7.981393156091065,-0.4650752106086706,-3.5688995863459447,-7.8224922620858965,-0.020028875036184134,-1.5800393712056782,-6.804407613159433,-6.019672660540078,3.6240447415587895,4.836744926542398,1.7992346162742565,4.733319443732155,-2.971979333220235,-58.1185554673597,-6.770272235607833,-11.282752618811106
Arvo-Italic,0.944781704663155,4.133737210218555,1.0825471210494542,6.54178261330157,1.0693564179979678,9.092649216569459,7.7831584691633156,1.1696660667029632,4.180374336220682,7.4265202538781905,-3.9835378566102073,1.0928033705840208,-0.32268204594167743,2.888006110073817,3.469941977039914,6.087728070874639,-0.17872930025955533,1.2863352229361658,3.1409243032012277,3.2603208604868747,13.740777722237892,-3.7073432991329445,-2.1360323288761727,6.475644847717664,-4.299398094272366,-1.8806053782645926,4.607212548983387,-1.481079894955721,-21.34842040554177,5.94662300972495,-2.1382450775561113
Roboto-MediumItalic,-5.538340480170189,-6.108028262381537,-9.354959191388543,4.294306085917383,4.527685425947709,1.6674577463897773,9.23825482404506,0.6383200738971067,-5.739136692106432,-2.148255389027264,-5.358847042736492,4.197148401849586,4.67839336617269,-1.0836508107408356,8.279468885417076,3.965683979591423,4.046528057034099,-1.8855314520395563,4.400376728799051,9.280549597762132,-3.5741333464447105,-11.54948586154238,2.2531239140233645,-4.572371560065656,-4.195047913026326,3.3495160736144345,-7.6716016765506705,-1.1752289132532894,-17.057334369514667,1.1840734586634591,0.3661056771939752
Bello-Pro,6.9724734418907595,12.79650772021944,14.966236307577875,-4.6386502304688895,3.0147488596666663,3.571206534322758,1.5033761783428943,3.149665732566107,25.301483876637775,2.113506578963721,14.480184565263082,-14.149022229167283,-0.27825638451329965,4.154163533139683,-12.43922832490471,15.760935698990188,5.022899776223821,6.054597087436778,2.1240776481120798,-6.6724774305049595,-25.296595282013822,28.670588549206848,-13.793474912193846,1.200382533324479,-1.18221279436466,8.458488746135671,7.735491895696828,13.573647380551321,-59.38268531228324,-3.762326559324552,-9.24716791159237
Syncopate-Bold,-5.171183496731622,4.691908590466111,7.131648946352802,-9.112828085417648,-6.894452230906891,-4.870131491697611,28.546942500296808,12.271356020295167,-1.0104742822314692,-6.2320285890578075,6.685636532725085,-17.41047993381631,-12.108714801030075,-3.7294225964966428,-9.275624698203787,-6.894774404673948,0.12797039877835936,-10.152974922209934,-4.183162520533384,-6.6207777305663065,50.046063562995,13.505423907610322,-16.297039782917043,5.033330053069984,7.895242989402573,4.431847987026858,15.497080276754517,7.186102298651372,-90.72471435703933,-6.390343729036956,-16.725265637321623
Arvo-Bold,-3.468231781589435,-1.2472466831636735,0.3048349344383311,-0.6615577384002203,0.25985254681084796,-3.594229663265801,25.87912870083376,6.034654379676643,-0.6316575449152678,5.260218055441223,3.705731592975884,-7.624402671883569,-0.1185678277265326,-2.2827583800920146,0.15490357722094442,-4.2730595952378945,6.824474545579125,-3.944200457292413,1.1827082404796356,7.603114054791068,10.550325145306031,-3.068186161806145,-2.320865551078603,-1.0246174420346879,3.1777280639256245,1.6496134992480187,-6.801051968531665,3.729240129468881,-63.11243211086488,0.1489407167982528,-4.609795342159663
