example,1,1,A,B,more
example,1,2,A,B,less
example,1,3,A,B,less
example,1,4,A,B,less
example,1,5,A,B,less
example,1,6,A,B,less
example,1,7,A,B,less
example,1,8,A,B,less
example,1,9,A,B,less
example,1,10,A,B,less
example,1,11,A,B,less
example,1,12,A,B,less
example,1,13,A,B,less
example,1,14,A,B,less
example,1,15,A,B,less
example,1,16,A,B,less
example,1,17,A,B,less
example,1,18,A,B,less
example,1,19,A,B,less
example,1,20,A,B,less
example,1,21,A,B,less
example,1,22,A,B,less
example,1,23,A,B,less
example,1,24,A,B,less
example,1,25,A,B,less
example,2,1,B,C,less
example,2,2,B,C,more
example,2,3,B,C,less
example,2,4,B,C,less
example,2,5,B,C,less
example,2,6,B,C,less
example,2,7,B,C,less
example,2,8,B,C,less
example,2,9,B,C,less
example,2,10,B,C,less
example,2,11,B,C,less
example,2,12,B,C,less
example,2,13,B,C,less
example,2,14,B,C,less
example,2,15,B,C,less
example,2,16,B,C,less
example,2,17,B,C,less
example,2,18,B,C,less
example,2,19,B,C,less
example,2,20,B,C,less
example,2,21,B,C,less
example,2,22,B,C,less
example,2,23,B,C,less
example,2,24,B,C,less
example,2,25,B,C,less
example,3,1,C,D,less
example,3,2,C,D,less
example,3,3,C,D,more
example,3,4,C,D,less
example,3,5,C,D,less
example,3,6,C,D,less
example,3,7,C,D,less
example,3,8,C,D,less
example,3,9,C,D,less
example,3,10,C,D,less
example,3,11,C,D,less
example,3,12,C,D,less
example,3,13,C,D,less
example,3,14,C,D,less
example,3,15,C,D,less
example,3,16,C,D,less
example,3,17,C,D,less
example,3,18,C,D,less
example,3,19,C,D,less
example,3,20,C,D,less
example,3,21,C,D,less
example,3,22,C,D,less
example,3,23,C,D,less
example,3,24,C,D,less
example,3,25,C,D,less
example,4,1,D,E,less
example,4,2,D,E,less
example,4,3,D,E,less
example,4,4,D,E,more
example,4,5,D,E,less
example,4,6,D,E,less
example,4,7,D,E,less
example,4,8,D,E,less
example,4,9,D,E,less
example,4,10,D,E,less
example,4,11,D,E,less
example,4,12,D,E,less
example,4,13,D,E,less
example,4,14,D,E,less
example,4,15,D,E,less
example,4,16,D,E,less
example,4,17,D,E,less
example,4,18,D,E,less
example,4,19,D,E,less
example,4,20,D,E,less
example,4,21,D,E,less
example,4,22,D,E,less
example,4,23,D,E,less
example,4,24,D,E,less
example,4,25,D,E,less
example,5,1,E,F,less
example,5,2,E,F,less
example,5,3,E,F,less
example,5,4,E,F,less
example,5,5,E,F,more
example,5,6,E,F,less
example,5,7,E,F,less
example,5,8,E,F,less
example,5,9,E,F,less
example,5,10,E,F,less
example,5,11,E,F,less
example,5,12,E,F,less
