example,1,1,A,B,more
example,1,2,A,B,less
example,1,3,A,B,less
example,1,4,A,B,less
example,1,5,A,B,less
example,1,6,A,B,less
example,1,7,A,B,less
example,1,8,A,B,less
example,1,9,A,B,less
example,1,10,A,B,less
example,2,1,B,C,less
example,2,2,B,C,more
example,2,3,B,C,less
example,2,4,B,C,less
example,2,5,B,C,less
example,2,6,B,C,less
example,2,7,B,C,less
example,2,8,B,C,less
example,2,9,B,C,less
example,2,10,B,C,less
example,3,1,C,D,less
example,3,2,C,D,less
example,3,3,C,D,more
example,3,4,C,D,less
example,3,5,C,D,less
example,3,6,C,D,less
example,3,7,C,D,less
example,3,8,C,D,less
example,3,9,C,D,less
example,3,10,C,D,less
example,4,1,D,E,less
example,4,2,D,E,less
example,4,3,D,E,less
example,4,4,D,E,more
example,4,5,D,E,less
example,4,6,D,E,less
example,4,7,D,E,less
example,4,8,D,E,less
example,4,9,D,E,less
example,4,10,D,E,less
example,5,1,E,F,less
example,5,2,E,F,less
example,5,3,E,F,less
example,5,4,E,F,less
example,5,5,E,F,more
example,5,6,E,F,less
example,5,7,E,F,less
example,5,8,E,F,less
example,5,9,E,F,less
example,5,10,E,F,less
example,6,1,F,G,less
example,6,2,F,G,less
example,6,3,F,G,less
example,6,4,F,G,less
example,6,5,F,G,less
example,6,6,F,G,more
example,6,7,F,G,less
example,6,8,F,G,less
example,6,9,F,G,less
example,6,10,F,G,less
example,7,1,G,H,less
example,7,2,G,H,less
example,7,3,G,H,less
example,7,4,G,H,less
example,7,5,G,H,less
example,7,6,G,H,less
example,7,7,G,H,more
example,7,8,G,H,less
example,7,9,G,H,less
example,7,10,G,H,less
example,8,1,H,I,less
example,8,2,H,I,less
example,8,3,H,I,less
example,8,4,H,I,less
example,8,5,H,I,less
example,8,6,H,I,less
example,8,7,H,I,less
example,8,8,H,I,more
example,8,9,H,I,less
example,8,10,H,I,less
example,9,1,I,J,less
example,9,2,I,J,less
example,9,3,I,J,less
example,9,4,I,J,less
example,9,5,I,J,less
example,9,6,I,J,less
example,9,7,I,J,less
example,9,8,I,J,less
example,9,9,I,J,more
example,9,10,I,J,less
example,10,1,J,K,less
example,10,2,J,K,less
example,10,3,J,K,less
example,10,4,J,K,less
example,10,5,J,K,less
example,10,6,J,K,less
example,10,7,J,K,less
example,10,8,J,K,less
example,10,9,J,K,less
example,10,10,J,K,more
